"","V1","V2","V3","V4","V5","V6"
"1","자금대여거래@대여","매출거래@매출","매입@유형자산취득","채권@미지급금","당기손익공정가치측정금융상품순손익","임차료미지급금"
"2","자금대여거래@회수","매출거래@기타","매입@외주가공비","채권@미지급비용","당기손익인식금융상품순손익","지급수수료미지급금등"
"3","출자@증자","배당금수취@매입","배당금지급@배당금지급","채권@유동성리스부채","영업외손익","포장비미지급금등"
"4","수익거래@이자수익","매입거래@배당금수취","현금출자감자등@현금출자감자등","채권@장기미수금","일반관리비","채권@회원권"
"5","수익거래@기타수익","매입거래@기타","자금차입거래@상환","채무@기타의유동부채","당기손익인식금융자산","매입@유형자산매입"
"6","비용거래@기타비용","유상감자@유상감자","자금차입거래@차입","채무@기타의유동자산","상각후원가측정대출채권","매입@기타자산매입"
"7","유형자산취득@유형자산취득","청산대금회수@청산대금회수","자금거래@증가","채무@리스부채","유형자산","지분투자@현금출자"
"8","채권@예치금","채권잔액등","자금거래@상환","채무@매출채권","신용카드미사용약정","지분투자@출자전환"
"9","채권@기타자산","채무잔액등","자금거래@기말","채무@미수금","용역비","매출@계약수익"
"10","채무@기타부채","수익@매출","자금거래@기초","채무@미수수익","중계비","매출@상품매출"
"11","배당@지급","비용@지급수수료","장기대여금@자금대여거래@기말","채무@미지급비용","사업수익","매입@계약원가"
"12","지분투자@증자및취득","자산취득@자산취득","장기대여금@자금대여거래@기초","채무@선급금","장기보증금","자금대여거래@회수출자전환"
"13","채권@매출채권","채권@미수수익","비용거래@유형자산취득","채무@선급비용","고정자산매각","매출@고정자산처분"
"14","채권@대여금","채무@계약부채","장기대여금@자금대여거래@손상차손","채무@유동성리스부채","채권@단기대여금","매입채무및미지급금"
"15","채권@임차보증금","현금출자거래@출자","장기대여금@자금대여거래@회수","채무@장기미수금","비용@로열티비용","매출채권및미수금"
"16","채권@기타채권","현금출자거래@회수","단기대여금@자금대여거래@기말","당기손익공정가치측정금융자산","비용@광고선전비","매입거래@기타매입"
"17","채무@매입채무","수익@임대료수익","단기대여금@자금대여거래@기초","매입@기타거래","비용@무형자산매입","매입거래@매입"
"18","채무@임대보증금","수익@배당금수익","단기대여금@자금대여거래@상환","매입@임대차거래등","예수보증금","매출거래@기타수익"
"19","채무@기타채무","수익@기타수익","단기대여금@자금대여거래@증가","매입@전력거래등","유무형자산처분","매입채무@기타"
"20","수익@제품상품매출","비용@기타비용","장기대여금@자금대여거래@상환","매입@전력설비등","재화용역의매입","매입채무@매입채무"
"21","수익@용역서비스제공","고정자산매입@고정자산매입","장기대여금@자금대여거래@증가","매출@기타거래","재화용역의매출","매출채권@기타"
"22","수익@임대수익","현금출자@현금출자","배당금의지급보통주","매출@임대차거래등","지분매각@지분매각","매출채권@매출채권"
"23","수익@기타","채권@미청구공사","배당금의지급신종자본증권","매출@전력거래등","매출@상제품","자금대여거래@기타"
"24","비용@재고자산매입","채무@초과청구공사","배당금의지급전환상환우선주","매출@전력설비등","매입@재고자산매입","자금대여거래@사업결합"
"25","비용@용역서비스비용","채무@차입금및사채","손상","채권@미수이자","매입@판매수수료","자금대여거래@대손충당금"
"26","비용@기타","매출@기타","미수금","채권@미지급금등","현금출자감자@현금출자감자","자금대여거래@잔액"
"27","비용@고정자산매입","매입@기타","배당금수취@배당금수취","채무@미수금등","자본거래@배당금","수수료수입등"
"28","채권","차입금상환","자금대여거래@기말","채무@미수이자","매입거래@상품매입","자금거래@기타"
"29","채무","자금차입","자금대여거래@전기초","미청구공사","매입거래@용역거래등","청산@청산"
"30","기타비용","출자금회수","미수배당금","배당의지급","매출거래@매출거래","현물출자@현물출자"
"31","기타수익","현금배당","대여금","초과청구공사","자본거래@현금출자","자금대여거래@기초금액"
"32","매입","자금회수","미지급금","계","자본거래@현금출자감자","자금대여거래@외화평가"
"33","매출","비유동자산처분","파생금융상품관련비용","현금출자등","재고매입","자금대여거래@기말금액"
"34","금융리스거래","비유동자산매입","파생금융상품관련수익","채권@당기손익공정가치측정금융자산","고정자산매입","자금대여거래@분할제외"
"35","배당금수취","채무@예수부채","기타부채","채권@상각후원가측정대출채권","매입@원재료상품매입","자금대여거래@제각기타"
"36","유형자산취득","수익@이자수익","대출채권","채권@신용손실충당금","대여회수","자산@예치금"
"37","배당수익","비용@이자비용","사채","채권@지급보증충당부채","현금출자감자","자산@미수금등"
"38","이자지급","비용@판관비","예수부채","채무@당기손익공정가치측정금융자산","출자@출자","부채@특별계정부채"
"39","이자수취","비유동자산취득@비유동자산취득","차입부채","채무@대출채권","지분매입@지분매입","자금대여거래주@대여"
"40","자금차입거래","채권@신용판매자산","파생부채","채무@상각후원가측정대출채권","매출거래@잡이익","자금대여거래주@회수"
"41","자금대여거래","채무@차입부채","파생자산","채무@신용손실충당금","매입거래@매출원가","현금출자@출자"
"42","채권@미수금","수익@신용판매수익","","채무@임차보증금","매입거래@판매수수료","현금출자@회수"
"43","채무@미지급금","수익@리스수익","지분변동@지분변동","채무@지급보증충당부채","매출거래@자재매각","유무형자산취득주"
"44","채무@선수수익","비용@임차료","현금회수","지급수수료등","매출거래@지분거래","유가증권취득"
"45","배당금수익","예금가입","매입및소비자보상비등","주식양수@주식양수","매입거래@지분거래","자산@보험미수금"
"46","판매비와일반관리비","채권@단기금융상품","영업비용차감","매출@유가증권매도","채무@외상매입금","현금출자감자등"
"47","경상연구개발비","채권@대손충당금","자금대여@기초","매입@유무형자산등자산취득","비용청구","매입@비유동자산취득"
"48","출자","매출거래","자금대여@증가","매입@유무형자산취득","임가공수입","매입@판매비와관리비"
"49","유형자산매각","매입거래","자금대여@기말",NA,"임대수입","매출@매출액"
"50","채권@선급금","채권@유동성만기보유증권","채권@회원권등","외주가공비","보증수수료수익","매출@유무형자산처분"
"51","채권@선급비용","채권@장기당기손익공정가치금융자산","매출@수입배당금","자금거래@환산","청산배당수령","당기당기@매출"
"52","채무@예수금","채권@장기상각후원가측정채무상품","매입@재고매입","자금거래@보고기간말","채무@보증금","당기당기@배당금수익"
"53","수입@매출","채권@만기보유금융자산","매입@지급배당금","선수수익","법인설립","당기당기@기타수익"
"54","수입@기타수익","채권@현금및현금성자산","매출@유형자산처분","매출원가","손실충당금대손충당금","당기당기@원재료매입"
"55","지출@상품및원재료매입","청산","관리비","경상연구비","파생상품부채","당기당기@기타비용"
"56","지출@기타비용","예금해지","광고선전비","예수금","현금및현금성자산","전기전기@매출"
"57","지출@용역비","금융자산취득","광고선전비등","비유동자산취득","매출@제품및상품","전기전기@배당금수익"
"58","지출@유무형자산취득","금융자산처분","로열티","중단사업수익","매입@원재료및상품","전기전기@기타수익"
"59","지출@배당금지급","배당지급","용기매입","중단사업비용","제상품매출","전기전기@원재료매입"
"60","지출@지분취득","채권인수","운반비","중단영업수익","임대용역수익","전기전기@기타비용"
"61","채무@선수금","수익@보험료수익","임대료","중단영업비용","기타잡이익등","채권주"
"62","원재료및상품매입","비용@보험금비용","임대료등","자금거래@배당금수취","미수금등기타자산","채무주"
"63","판매비와관리비","채권@보험미수금","제품매출","자금거래@금전대여","매입및원가","재화의매출"
"64","유무형자산매입","채무@보험미지급금","종속기업투자매입","자금거래@지분매각","경상개발비","용역비등@매입@기타비용"
"65","매출채권","출자전환","지급수수료","자금거래@지분매입","지분매각","용역비등@매입@매입"
"66","기타채권","채권@기타수취채권","파유리매각등","채권@유가증권","지분투자","이자비용@매입@기타비용"
"67","기타채무","채무@기타지급채무","선급비용","배당거래@지급","수익거래@배당금수익","기타@이자비용@매입@기타비용"
"68","차입금","기초","선수금","배당거래@수취","유무형자산의처분등","기타@이자비용@매출@기타수익"
"69","유무형자산의매입","증가","회원권","자산의처분등","유무형자산의취득등","기타@이자비용@매출@매출"
"70","대여거래@대여","감소","자금거래@대여","자산의취득등","자금대여거래@환율변동","도급공사등@매출@기타수익"
"71","대여거래@회수","기말","배당@수령","유상증자@유상증자","출자금회수@출자금회수","도급공사등@매출@매출"
"72","배당거래@수익","기타매출","무형자산매각","고정자산처분","경상연구개발비등","도급공사등@지분변동@지분변동"
"73","매입채무","배당금수입","소모품매각","출자금반환","금융보증수익","도급공사등@전력비등@매입@기타비용"
"74","유무형자산의매각","원재료매입","원재료매각","채권@매출채권및미청구공사","복리후생비등","도급공사등@전력비등@매입@매입"
"75","차입거래@차입","기타매입","잡이익","현금출자및현물출자@현금출자및현물출자","사무비등","도급공사등@전력비등@매출@매출"
"76","차입거래@상환","기타","금형부품구매","매출및기타수익","선급비용지급","용역비등@매출@기타수익"
"77","지분거래@출자","보증금","소모품비","유형자산등의매각","수선비등","용역비등@매출@매출"
"78","지분거래@유상감자","임대보증금","소모품비등","매입및기타비용","운반비등","용역비등@지분변동@지분변동"
